programming,"[폰,개발자,경상도,새끼,안,정처,연봉,코딩,프,애,충,좆,사람,회사,말,국비,ㅋㅋ,때,이유,공부]"
ironmen,"[오빠,섹시,짤,강철,황,남자,준서,청순,사람,부대,종혁,식스,박,대원,준호,때,시즌,유,디,전우회]"
bitcoins,"[헌트,ㅋㅋㅋ,메타,비트,장,새끼,아인,코,코인,시발,도지,오늘,애,아르고,아이,기사,엘프,롱,숏,ㅋㅋ]"
monsterhunter,"[료,이즈,라,무기,린,안,스,흑,집,노,차액,어,질문,아,뉴,맘,흑룡,스토리즈,월드,리즈]"
nba,"[부커,쿰,ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,보,새끼,ㅋㅋㅋㅋ,피닉스,팀,신,파이널,좆,엠,폴,파,ㅋㅋ,퍼,폴신,우승,베벌리]"
cs_new1,"[카드,새끼,안,편의점,시발,집,닉,오늘,시간,사람,야간,물류,ㅋㅋ,때,출근,이유,쇼,퇴근,손님,알바]"
samsunglions_new,"[ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,ㅅㅂ,새끼,야구,안,홈런,ㅋㅋㅋㅋ,우,팀,상수,시발,노,오늘,좆,자욱,ㅋㅋㅋㅋㅋㅋ,김,ㅋㅋ,투수]"
government,"[공단,점수,교행,컷,안,여자,경남,급,합,애,공무원,사람,필,면접,때,서울,합격,일행,서영,조정]"
touhou,"[카리,짤,제발,안,동방,여자,사람,이,말,똥,랭킹,글,카,동개,그림,동,악마,창,유,페]"
bicycle,"[한강,자전거,추천,안,뚜,오늘,자리,르,이상,리,이,ㅋㅋ,라이딩,카본,가능,로드,자개,디,교체,님]"
lgtwins_new,"[규,ㅋㅋㅋ,쥐,새끼,야구,안,ㅋㅋㅋㅋ,팀,병신,시발,류,좆,찬,선발,창기,ㅋㅋ,경기,웅,홍,빈]"
immovables,"[판교,이재명,아파트,새끼,안,정도,집,강남,중국,애,광교,사람,분당,부동산,때,서울,한국,집값,이유,돈]"
giants_new2,"[ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,새끼,안,ㅋㅋㅋㅋ,씨발,수비,성,팀,병신,시발,노,오늘,꼴,좆,민규,김,ㅋㅋ,프랑코,투수]"
doosanbears_new1,"[란다,승호,ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,새끼,홈런,ㅋㅋㅋㅋ,태,건우,신,시발,노,오늘,좆,석환,박,ㅋㅋ,미란다,혁,재원]"
mabi_heroes2,"[여,무기,섭,테,전,애,레서,캐,마,뉴,아,사람,릭,스토리,ㅋㅋ,때,단아,비,영전,망]"
granblue,"[수영복,안,스킨,스,코레,마이,이번,좆,아,사람,레,기교,릭,슈,블루,알,소양,정보,게임,페이지]"
bd,"[갸,방송,사막,검,새끼,안,기견,시발,검사,배,노,로,카프,아,뉴,ㅋㅋ,비,시즌,게임,돈]"
diet,"[여,밥,러,안,몸,여자,시발,아침,집,남자,노,오늘,야,사람,글,운동,때,남,오운,다이어트]"
japan_entertainment,"[미,스타,ㅋㅋㅋ,죽어,안,인,룬,녀,여자,메,노,애,사쿠라,이,센터,카,ㅋㅋ,때,이유,유]"
football_new7,"[누누,월드컵,베트남,일본,축구,새끼,메시,이란,메,최종,중동,흥미,좆,날,손,조,ㅋㅋ,한국,예선,이유]"
penthouse,"[석훈,석경,수련,컷,성격,민,대피,윤,붕,노,습,애,리,사람,록,련,소개,스틸,망,장사]"
kancolle,"[트,짤,안,오,칸,코레,붕,노,애,좆,뉴,말,계정,딸,깡,카,때,비,게임,님]"
lostark,"[새끼,안,드,강,익,배,애,로,마,뉴,레,카,퍼,쿠크,때,딜,비,슬,직업,팟]"
pumpitup,"[채보,티저,새끼,안,스,글로리아,닉,노,펜,이번,시,사람,말,턴,글,펌프,때,노래,펌,곡]"
skwyverns,"[ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,ㅅㅂ,새끼,안,ㅋㅋㅋㅋ,김정빈,주환,씨발,위니,시발,정,오늘,이닝,좆,맥,주,칩,ㅋㅋ,팩]"
arbeit,"[팡,일,안,여자,출,공장,쿠팡,집,노,애,허브,오후,사람,조,센터,때,출근,문자,계약직,알바]"
akb48,"[열,히,미,일본,안,양민,쥬,닉,노,사쿠라,토미,조,카,한국,룸,퀴,나,이유,요즘,쇼]"
typemoon,"[서번트,던,네로,폰,룰렛,밥,안,스,오,핫,프,닉,로제,예장,이번,뉴,때,마나,달,신대]"
game_mabinogi1,"[던전,랜,안,드,샷,스,테,정령,콤,마비,이번,뉴,사람,벤,조,카,스트,비,이벤트,헤일]"
pridepc_new4,"[파워,컴,존,보드,추천,안,견적,아르고,질문,라데,글,램,카,ㅋㅋ,가격,모니터,때,개,케이스,컴퓨터]"
fashion_new1,"[갸,방,새끼,안,여자,스,우,시발,노,애,좆,야,사람,말,언,힙,ㅋㅋ,때,상,요즘]"
plastic_s,"[고구,코,안,성형,정도,여자,쌍수,여름,성,행,남자,얼굴,애,수술,빵,사람,센터,탕,때,눈]"
producex,"[여행,꼬꼬,미,새끼,필리핀,사형,정신,노,오늘,스위스,좆,사람,유럽,무,드라마,펙,냐,떡볶이,때,노래]"
maplestory,"[카인,추,짤,섭,추천,안,테,스,메,라라,닉,노,애,아,사람,이프,ㅋㅋ,때,버닝,요즘]"
ff14,"[미,전사,힐러,섭,스,애,질문,사람,홍련,영식,흑마,글,파,판,때,딜,탱,파파,팟,페]"
divination,"[일,새끼,안,결혼,녀,여자,남자,애,술,사람,말,역,생각,사주,글,때,남,이유,나,돈]"
loan_new1,"[인증,진짜,밥,런,새끼,안,하,콩,노,사람,이,상규,도움,ㅋㅋ,때,형,점,유,구제,돈]"
mistertrot,"[히,탁,특수,줌,밑,새끼,안,민,노,애,찬,글,팬,콘,때,노래,콜,웅,트럭,희]"
closers,"[미,군단,왕,루,수영복,기계,루시,안,시발,프,노,좆,사람,전뇌,똥,프로그램,식충,릭,ㅋㅋ,서클]"
exam_new2,"[갸,수능,새끼,씨발,수학,붕,닉,애,영어,좆,이,국어,우잉,모,학교,시험,물,ㅋㅋ,때,공부]"
ktwiz,"[잠실,ㅋㅋㅋ,ㅅㅂ,쥐,안,ㅋㅋㅋㅋ,민,팀,시발,배,허,정,오늘,좆,백호,김,ㅋㅋ,경기,배제,투수]"
basketball,"[석,라,새끼,안,아부,농구,신,허,허웅,전창진,훈,농,국대,용병,유니폼,여주,팬,ㅋㅋ,경기,웅]"
pripara,"[ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,마리아,안,ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,입갤,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋ,오늘,세린이,ㅋㅋㅋㅋㅋㅋ,사람,ㅋㅋㅋㅋㅋㅋㅋㅋ,도서부장,ㅋㅋ,파라,코디,프리,묵찌빠]"
taeyeon_new1,"[캠,음,문,방,뮤,사진,티저,욘,태,직,전,엠,아기,카,태연,때,•̀.̫•́,킥보드,탱,힐리스]"
iu_new,"[크리스마스,ㅉㅂㅅ,안,메리,유생,미리,노,오늘,아이,사람,말,글,ㅋㅋ,생일,때,ㅇㅇㅇㅅ,이유,일시,유,디]"
boardgame,"[토로,보그,이온,카드,추천,드,프,노,질문,텍,얼마,사람,레,프로,때,팩,후,통,유,보개]"
stock_new2,"[열,문,ㅋㅋㅋ,이재명,민주당,새끼,대선,병신,윤,대통령,쥬,좆,리,김,ㅋㅋ,윤석,코로나,변,이유,희]"
extra,"[새끼,안,몸,여자,남자,오늘,애,근육,질문,사람,운동,알린,알,벤치,때,남,헬스,이유,헬스장,김종국]"
drama_new3,"[꼬꼬,혜,이재명,연기,꼬꼬무,김수현,필리핀,임영웅,안,안동,애,음색,사람,무,김,때,트롯,인간,노래,성시경]"
smartphone,"[폰,ㅋㅋㅋ,워치,새끼,안,아이폰,애,삼성,좆,애플,갤럭시,프로,김,ㅋㅋ,때,루나,이유,팟,노트,맛]"
lotto_new2,"[전북,인증,ㅋㅋㅋ,새끼,안,나고야,오버,언더,시발,배,노,마,삼성,야수,토,ㅋㅋ,경기,멘탈,천사,양키]"
ib_new2,"[ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,ㅋ,방송,새끼,ㅋㅋㅋㅋ,김봉준,보성,호,철구,킹,비제이,수트,피해자,봉,케이,ㅋㅋ,퀴,돈,준]"
etc_program2,"[걸,방,공산당,일본,병신,중국인,중국,떡,즈,61.76,팬,버스,조선,플랫폼,굿,한국,이브,방탄,그룹,기술]"
gf,"[레떼,신비,보은,유나,축구,자매,비시,띠,ㅇㅁㄴ,시,ㅈㄱㅅㅁ,신곡,사람,설,예,때,올,쉬,디,열대야]"
chicken,"[두찜,찜닭,추천,안,닭,치킨,토스,배,마리,오늘,순사,배달,구독,ㅋㅋ,할인,찜,쿠폰,멕시칸,시카,맛]"
ufc,"[존,포,코,안,우,스,선수,맥그리거,은,고트,좆,이리,폴,맥,정찬,복싱,차전,돈,업,실전]"
ani1_new1,"[방,안,ㅇㅂ,여자,스,애니,하,노,오늘,애,임,사람,말,설탕,카,ㅋㅋ,섹스,노래,맛,님]"
mystery,"[이재명,새끼,안,뱀,미개,여자,휴거,짱깨,남자,중국,애,이,사람,말,드라마,글,미국,인간,한국,이유]"
bike,"[오토바이,추천,차,안,스즈키,스,티,부리,배,현직,좆,사람,바리,바이크,딸,카,반,때,커브,요즘]"
pokemon,"[미,세대,방송,몽,썬,짤,러,포,오,배,애,마,이상,사람,룰,글,때,시즌,포켓,님]"
sbsdocu,"[첸,한강,틀,새끼,폭로,과거,노,정민,충,사람,손,글,실족,ㅋㅋ,알,정민이,경찰,이유,사건,타살]"
sdvx,"[에스,볼,발,하드,방송,오락,루비,기체,안,오,노,오늘,임,사람,놉,때,퓨어,곡,페,사]"
toy,"[규,미,추천,새끼,안,스,오,택,붕,노,오늘,마,좆,토,카,토이,때,하사웨이,아미,돈]"
gongik_new,"[일,새끼,백신,안,장기,소,지정,면제,붕,공,애,병가,질문,대기,사람,훈련소,때,근무지,아세,공익]"
kart,"[티미,ㅋㅋㅋ,리그,안,민,테,전,좆,유영,런민기,박,카트,카,ㅋㅋ,박인수,혁,시즌,우승,문호,러플]"
leagueoflegends4,"[미,신궁,드,골드,고스트,명장면,팀,어,탑,감독,순위,ㅇ,맥,프로,때,컵,시즌,서머,롤,게임]"
fantasy_new,"[료,원피스,짤,안,오,오늘,좆,사람,말,랭킹,생각,글,카,ㅋㅋ,때,개,디,판개,님,열매]"
earphone,"[음질,이어폰,추천,안,스,후기,소리,헤드폰,청음,노,즈,제미니,이,사람,버,글,프로,때,팁,팟]"
m_entertainer1,"[꾹,워,라,태형,안,김치,소,스,노,애,삐,좆,호모,라도,언,찜,뿡,와꾸,광고,곡]"
stream,"[스타,ㅋㅋㅋ,방송,새끼,안,ㅋㅋㅋㅋ,스,소연,워홀,햄,노,애,모,탱크,베,ㅋㅋ,위치,롤,이유,소풍]"
w_entertainer,"[느악몽,공산당,금,라디오,새끼,안,김치,인사,짱깨,노,애,좆,애미,똥,악몽,때,꿈,민이,선족,창]"
d_fighter_new2,"[던,미,갸,짤,안,연옥,공,프,오늘,애,마,사람,오즈마,글,파,ㅋㅋ,때,블레이드,요즘,칭호]"
ohmygirl,"[투표,음,인증,표,원,in,암,홍보,앤,춤,각개,스파,문투,설,storm⚡☸툽인증☸왔포엠(설x),온더,쉬,오프,마개,쓰리]"
tigers_new,"[ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,호령,새끼,야구,이창,안,홈런,내일,ㅋㅋㅋㅋ,팀,시발,오늘,좆,브룩스,기아,김,ㅋㅋ,때,진]"
blackpink,"[유출,ㅋㅋㅋ,지수,스포티,안,제니,핑크,노,로제,블,설,❤ ,총,글,김지수,핑,ㅋㅋ,퀴,곡,리사]"
lovelyz,"[율,투표,음,인증,보은,암,홍보,공,유리,각개,설총,스파,문투,신곡,설,조,온더,축하,쉬,마개]"
army,"[생활,새끼,백신,꿀,정도,병,휴가,집,애,입대,질문,자대,사람,부대,군,짬,전역,때,사단,군대]"
neostock,"[두중,ㅋㅋㅋ,새끼,안,린,내일,주식,노,오늘,사람,매수,주,삼전,ㅋㅋ,때,ets,종목,이유,카카오,절]"
jumper,"[일,짤,안,털,오,오늘,담배,좆,뉴,야,사람,조,점심,때,남,모닝,점,이제,그림,수인]"
car_new1,"[벤츠,운전,새끼,차,안,여자,붕,노,애,아우디,좆,사람,중고차,ㅋㅋ,때,남,이유,요즘,아반떼,돈]"
hanwhaeagles_new,"[곤,ㅋㅋㅋ,새끼,안,드,스,성,팀,병신,시발,허,정,좆,재민,베,ㅋㅋ,한화,연패,이글,이성]"
sh_new,"[ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,홍원기,새끼,안,ㅋㅋㅋㅋ,씨발,수비,시발,노,오늘,꼴,좆,ㅋㅋㅋㅋㅋㅋ,휘,김,ㅋㅋ,후,브리검,투수]"
top12,"[미,런,위,자몽,유리,노,오늘,애,사쿠라,은비,애미,이,엠,채원,란,ㅋㅋ,때,영,북,희]"
baseball_ab2,"[일,뽕,ㅋㅋㅋ,새끼,안,ㅋㅋㅋㅋ,스,팀,신,오타니,노,이닝,류,좆,실점,ㅋㅋ,경기,때,팩,투수]"
tr,"[발,갸,안,대답,이름,테,스,오,시발,노,캐,아,사람,테러,말,매점,ㅋㅋ,때,남,종남]"
rhythmgame_new1,"[발,하드,새끼,오락실,비토,안,스,오,잡담,집,오늘,애,어,이,ㅋㅋ,때,성과,게임,디,곡]"
redvelvet,"[에스,줌,틀,라디오,안,버블,배,노,이,글,아이린,ㅋㅋ,때,덩이,탱,슬기,슬,노래,퀴,벨]"
lgbt,"[사진,새끼,게이,안,몸,시발,노,애,좆,아,사람,말,연애,글,ㅋㅋ,때,남,어프,롤,디]"
shadowverse,"[카드,라,네크,안,ㅇㄹ,뱀,테,티,ㅁㅊㅇㅍ,엘,프,비숍,리,엘프,야,카,숍,팩,위치,로얄]"
majak,"[탁,포커,패,안,밴,무스,혼,프,뉴,아,정지,야,사람,계정,한패,ㅋㅋ,비,마작,내전,작]"
depression_new1,"[토로,사진,새끼,안,인,여자,우,남자,애,좆,아,사람,이,글,룽,때,남,본인,나,통]"
comic_new2,"[추,번역,짤,새끼,안,여자,애니,안붕,만화,노,애,좆,사람,이,글,만개,ㅋㅋ,때,본인,요즘]"
idolmaster,"[미,씹,짤,코,안,스,오,노,애,즈,좆,아,사람,말,레,카,때,노래,유,페]"
fifaonline,"[에어,미,강화,추천,안,츠,아이콘,팀,피파,시발,재료,노,주공,사람,맥,토,카,콘,ㅋㅋ,빠]"
elsword,"[문장,힐,하향,시너지,밸,패,안,감자,소,전,프,패치,노,뉴,레,ㅋㅋ,퍼,딜,비,비례]"
ncdinos,"[ㅋㅋㅋ,송명,새끼,안,가짜재능,홈런,ㅋㅋㅋㅋ,씨발,팀,병신,시발,공,노,오늘,좆,송명기,범,ㅋㅋ,경기,의지]"
baseball_new10,"[ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,이재명,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,추,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,짤,새끼,ㅋㅋㅋㅋ,녀,여자,ㅋㅋㅋㅋㅋㅋㅋ,붕,야,ㅋㅋㅋㅋㅋㅋ,사람,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋ,때,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ]"
twice_new,"[시계,트,이스,연이,안,위,붕,지효,사람,연,얼,임나,때,슬,쯔,노래,퀴,덕,영화,곡]"
hiphop,"[미,랩,새끼,국,스,릴,앨범,노,애,지원,테이크,화,디스,힙,ㅋㅋ,비,노래,래퍼,힙합,쇼]"
