DATE,SCORE_WORDS
bitcoins 2021-08-07,"리오넬 -> 101.52746049249245, 공항 -> 234.19585236780773, 선언한다■■■■ -> 875.1091540252621, 바프로 -> 46.49982128918637, 파리 -> 2392.8572499488987, 파리행 -> 372.34765615690327, 불장을 -> 1191.1207929788293, 바프는 -> 157.35693540867038, 보라(카카오게임) -> 478800.4977129055, 2시전에 -> 21.44769215012328, 잘한거냐? -> 19751.305310419775, 캐리 -> 2522758.3508191803, 에펠탑 -> 202.4367363517866, 아이오 -> 20732.032251653516, 바프가 -> 211.4929985490627, ■■■ -> 388.93740178900725, 솔브케어 -> 31.986621164639036, 폴리 -> 350.35369500846315, 퀀텀 -> 8476483.438257461, 전액현금화완료■■■■■ -> 23571.543735492774, 답안지 -> 426178.11490736366, 점검 -> 620.2031751922921, 소다 -> 918.2620623856427, 1070에 -> 19751.305310420143, 소다코인 -> 300.7580131472761, ㅅ -> 580214.150973597, 예약 -> 108.81332366912515, 바프 -> 27842.400790259526, 유벤투스 -> 265.7407253583518, 신세 -> 388.9374017890072, 샤오미 -> 328815.1470891641, 플댑으로 -> 575862.8127838232, 나한테만 -> 101.52746049249225, 신기록달성■■■■ -> 180.49326309776296, psg거래대금 -> 180.4932630977638, 피르마 -> 19751.305310420266, 지금물리는 -> 388.93740178900475, 사망 -> 42.95539091650032, 디카 -> 984149.9924504287, 상장가 -> 3542.02502628066, 비키니 -> 224.40489808680337, 파생 -> 5721333.881424884, 베이직 -> 4362.374854004379, 이캐시 -> 572773.2345668842, 빡대가리없제?■■■■ -> 388.93740178900583, 엑시에 -> 246.26510166773562, 포튜브 -> 462.32048428402334, 코베가 -> 344248.939093883, 유의종목 -> 315331.4184226545, 도착 -> 119.84723950875055, 코베 -> 287613.5434892402, 중계) -> 161.9322696459864, 4년차다. -> 322945.71188642527, 보지 -> 923486.923779459, 밸런서 -> 842296.5268505317, 퀸텀 -> 5501864.151959153, 여고생 -> 25657.663492476586, ■■학식이 -> 388.9374017890068, 쯤에서 -> 31.98662116463914, 바이프로스트 -> 4974.485241430362, 410~430 -> 31.986621164639068, 디카르고 -> 388027.4528686274, 천억 -> 1051553.2530645214, 개정안 -> 106.47975952386456, 리스크 -> 281550.7942419993, 6천원본다■■■■ -> 478800.4977129091, 프랑스 -> 406.1098419699685, 엘프 -> 1077301.119854038, 코빗 -> 109.564704191834, 워뇨띠가 -> 346163.0283013008, 메인프레임 -> 514640.9176830086, 챠트 -> 449179.60596294946, 10달러 -> 17.9924744051095, 카르테시 -> 369469.05012923584, 민주당 -> 101.52746049249254, 온톨로지가스 -> 727291.1826002852, 본진상장 -> 19751.305310419935, 대-운-지 -> 478800.4977129063"
bitcoins 2021-08-13,"아이오텍스 -> 1.9464231219386905E7, 도지사라했던 -> 350887.9216050149, 선언한다■■■■ -> 1078750.59249003, 바프로 -> 49524.4076632291, 세금 -> 5218.34226293096, 파리 -> 1487547.8551311474, 불장을 -> 1469278.3039866118, 바프는 -> 167592.2358787147, 하이브달러 -> 1885.2616695008946, 2시전에 -> 22842.75982207177, 아이오 -> 2.49659698507717E7, 바프가 -> 225249.58564729505, ■■■ -> 479444.7077733489, 솔브케어 -> 34067.19472049338, 퀀텀 -> 81906.06105334077, 폴리 -> 637669.2080902164, 인프라법 -> 2643.906289800363, 17년부터코인했던형이다.. -> 1641.083507432672, 염따 -> 18501.390699837124, 베이직으로 -> 1636.399913469611, 점검 -> 764526.9617229593, 소다 -> 1297551.8822707473, 베이직은 -> 1852.1353452856802, 소다코인 -> 320320.85367503006, 바프 -> 4.326353588472433E7, 신세 -> 479444.7077733486, 유벤투스 -> 3936.689387519256, 도지로 -> 3885.971582431427, 백신 -> 2889.5485795102654, 지금물리는 -> 479444.70777334576, 사망 -> 45749.42939784691, 13200층 -> 2263.726964184224, 상장가 -> 6091692.193786159, 아이오텍 -> 649374.640322352, 리또속 -> 1206.5674684805756, 비키니 -> 276624.8252064516, 픽준거 -> 2923.115850875923, 베이직 -> 5.322339881258113E7, 빡대가리없제?■■■■ -> 479444.70777334715, 엑시에 -> 303571.9865478841, 포튜브 -> 569904.3302742902, 아이오타 -> 277819.9791447763, 27k확정이야■■■■ -> 8222.840311038748, 9만 -> 947.4330112169677, 예상하냐? -> 2350.0841418934087, 중계) -> 172465.17327249912, ■■학식이 -> 479444.7077733483, 쯤에서 -> 34067.19472049349, 풀매수간다잇■■■■■ -> 1206.5674684805897, 410~430 -> 34067.19472049342, 바이프로스트 -> 6657783.196864695, 프메 -> 1134.4550885218496, 프랑스 -> 3198.4738139506007, 아오텍 -> 345350.6173549325, 온버프 -> 312902.9320835505, 크래프톤 -> 2923.1158508759117, 도지야 -> 4324.259562751843, 10달러 -> 19162.797030277572, 카르테시 -> 202076.97504074624, 해제 -> 2714.7768040812803, 박는거 -> 2469.813373495965"
bitcoins 2021-08-06,"리오넬 -> 113.69319667525002, 아이오텍스 -> 0.0, 도지사라했던 -> 0.0, 공항 -> 262.25885070522276, 파리 -> 2679.586277589945, 불장을 -> 0.0, 파리행 -> 416.9649777278292, 하이브달러 -> 0.0, 캐리 -> 1218783.0163656687, 세력입니다 -> 0.0, 아이오 -> 0.0, 에펠탑 -> 226.69413347575383, 폴리 -> 0.0, 퀀텀 -> 622058.12605151, 17년부터코인했던형이다.. -> 0.0, 답안지 -> 192128.3089388994, 베이직으로 -> 0.0, 베이직은 -> 0.0, 온버프에 -> 0.0, ㅅ -> 259777.21518296137, 비트렉스 -> 0.0, 예약 -> 121.85210335007139, 바프 -> 0.0, 플댑으로 -> 278208.103344335, 샤오미 -> 158855.61003729157, 유벤투스 -> 297.5836527992819, 나한테만 -> 113.69319667524978, 신기록달성■■■■ -> 202.12123853377622, psg거래대금 -> 202.12123853377716, 상장가 -> 0.0, 꺼억■■■ -> 0.0, 리또속 -> 0.0, 파생 -> 226399.24406413775, 베이직 -> 0.0, 이캐시 -> 276715.4810100096, 아이티오엑스 -> 0.0, 메탈 -> 0.0, 아이오타 -> 0.0, 코베가 -> 154276.73271781227, 유의종목 -> 152341.41517170385, 도착 -> 134.20818078535257, 9만 -> 0.0, 코베 -> 138950.48725836512, 4년차다. -> 156019.99641681384, 후오비 -> 0.0, 밸런서 -> 406926.29214204045, 퀸텀 -> 409080.42826455086, 풀매수간다잇■■■■■ -> 0.0, 프메 -> 0.0, 개정안 -> 119.23891509504712, 리스크 -> 136021.4806760971, 프랑스 -> 454.7727867009985, 코빗 -> 122.69351958496884, 아이오택스 -> 0.0, 온버프 -> 0.0, 현금화완료 -> 0.0, 민주당 -> 113.6931966752501, 해제 -> 0.0"
bitcoins 2021-08-12,"아이오텍스 -> 8.43227603091991E7, 도지사라했던 -> 1517974.8284031267, 파리 -> 6112957.925415029, 불장을 -> 3695.112872222419, 하이브달러 -> 7116.509580412822, 보라(카카오게임) -> 61.24623296542856, 잘한거냐? -> 508.4949016179914, 아이오 -> 1.0814743224450263E8, 폴리 -> 891507.6127715963, 퀀텀 -> 2081.2553044997467, 전액현금화완료■■■■■ -> 606.8464653037577, 17년부터코인했던형이다.. -> 6194.782767738514, 답안지 -> 733.5184989601307, 베이직으로 -> 6177.103078044451, 베이직은 -> 6991.463913036659, 소다 -> 1384400.713119956, 1070에 -> 508.4949016180008, ㅅ -> 1094.1938888390396, 바프 -> 5.895938898890506E7, 피르마 -> 508.4949016180041, 디카 -> 125.88850679659407, 상장가 -> 7460946.154054452, 아이오텍 -> 2813214.7388505396, 리또속 -> 4554.566131464216, 파생 -> 1512.1833469539345, 베이직 -> 2.068510270828094E8, 아이오타 -> 1203569.1133384285, 코베가 -> 641.3462496871589, 9만 -> 3576.3821066334576, 보지 -> 118.12873116150733, 퀸텀 -> 2258.49396050234, 여고생 -> 660.5533592998329, 풀매수간다잇■■■■■ -> 4554.566131464269, 바이프로스트 -> 2429108.3828320783, 디카르고 -> 49.63491034134998, 프메 -> 4282.3554080697795, 천억 -> 653.6916282559093, 6천원본다■■■■ -> 61.24623296542903, 엘프 -> 137.80402417221435, 아오텍 -> 1496124.7121257312, 온버프 -> 1355555.1536937563, 워뇨띠가 -> 44.279781613911744, 메인프레임 -> 65.8307952654952, 챠트 -> 57.457247687787216, 카르테시 -> 884947.9146894118, 온톨로지가스 -> 93.03216144513729, 본진상장 -> 508.4949016179954, 해제 -> 10247.773795794432, 대-운-지 -> 61.246232965428675"
bitcoins 2021-08-09,"리오넬 -> 145053.53060459575, 공항 -> 334598.4926059999, 파리 -> 5321803.40595524, 세금 -> 129828.87092085369, 파리행 -> 531977.6726011847, 보라(카카오게임) -> 2078.1421813080615, 에펠탑 -> 289223.8532260907, 인프라법 -> 65778.62300517828, 퀀텀 -> 31004.82562375795, 염따 -> 460302.2461919371, 예약 -> 155462.93287020974, 유벤투스 -> 477609.2435546869, 도지로 -> 96680.3780889276, 나한테만 -> 145053.53060459546, 신기록달성■■■■ -> 257872.94329705715, 백신 -> 71890.03914397665, psg거래대금 -> 257872.94329705837, 디카 -> 4271.515217328732, 13200층 -> 56320.01525098468, 파생 -> 22656.016971625628, 픽준거 -> 72725.1704407976, 도착 -> 171227.22403998638, 27k확정이야■■■■ -> 204578.77608530602, 예상하냐? -> 58468.5241668406, 보지 -> 4008.2187453014185, 퀸텀 -> 19922.842064423523, 천억 -> 4476.100780483353, 디카르고 -> 1684.1591041856718, 개정안 -> 152128.94109576396, 6천원본다■■■■ -> 2078.142181308078, 엘프 -> 4675.8199079431415, 프랑스 -> 659790.0151084649, 코빗 -> 156536.4394576665, 메인프레임 -> 2233.7006840486474, 워뇨띠가 -> 1502.4545591713563, 챠트 -> 1949.5783538108444, 크래프톤 -> 72725.17044079733, 도지야 -> 107584.69036974394, 민주당 -> 145053.5306045959, 온톨로지가스 -> 3156.6685746457574, 박는거 -> 61447.30749916474, 대-운-지 -> 2078.1421813080656"
bitcoins 2021-08-08,"아이오텍스 -> 0.0, 세금 -> 333772.33500811097, 파리 -> 4892607.787818089, 보라(카카오게임) -> 15507.087737383401, 캐리 -> 145831.41367589484, 아이오 -> 0.0, 세력입니다 -> 0.0, 퀀텀 -> 305789.1807587659, 폴리 -> 0.0, 인프라법 -> 169107.8759164505, 답안지 -> 22988.786784433236, 염따 -> 1183374.3483344384, 온버프에 -> 0.0, ㅅ -> 31083.20186794614, 비트렉스 -> 0.0, 바프 -> 0.0, 샤오미 -> 19007.59845765229, 플댑으로 -> 33288.51851560527, 유벤투스 -> 251796.05761158868, 도지로 -> 248552.07717149716, 백신 -> 184819.49399018774, 디카 -> 31874.0276014184, 13200층 -> 144791.08433033555, 꺼억■■■ -> 0.0, 픽준거 -> 186966.50274872663, 파생 -> 196148.51550303237, 이캐시 -> 33109.921323015595, 아이티오엑스 -> 0.0, 메탈 -> 0.0, 아이오타 -> 0.0, 코베가 -> 18459.720661866028, 유의종목 -> 18228.15352491794, 27k확정이야■■■■ -> 525944.1548153076, 코베 -> 16625.884768451873, 예상하냐? -> 150314.60796991293, 4년차다. -> 18668.307921633845, 보지 -> 29909.310495247584, 후오비 -> 0.0, 밸런서 -> 48690.07497488747, 퀸텀 -> 197611.98357566854, 디카르고 -> 12567.187763775422, 천억 -> 33400.64416604816, 리스크 -> 16275.419456068488, 6천원본다■■■■ -> 15507.087737383525, 프랑스 -> 204578.7760852961, 엘프 -> 34890.947409112676, 온버프 -> 0.0, 아이오택스 -> 0.0, 워뇨띠가 -> 11211.309254998538, 현금화완료 -> 0.0, 메인프레임 -> 16667.86459470887, 크래프톤 -> 186966.5027487259, 챠트 -> 14547.7450269639, 도지야 -> 276585.5780855153, 온톨로지가스 -> 23555.046899659825, 박는거 -> 157972.65399050238, 대-운-지 -> 15507.087737383428"
bitcoins 2021-08-14,"리오넬 -> 37.18843486845398, 아이오텍스 -> 1.2544292838542916E7, 도지사라했던 -> 186070.17929748681, 공항 -> 85.7834635082427, 바프로 -> 909033.6093709085, 파리 -> 757240.9827393182, 파리행 -> 136.38700793108507, 불장을 -> 10.494326049551233, 보라(카카오게임) -> 26.60258106622834, 바프는 -> 3076199.8431024817, 하이브달러 -> 20.21128297136137, 2시전에 -> 419284.90190642216, 잘한거냐? -> 200.83835887927853, 에펠탑 -> 74.15043524463508, 아이오 -> 1.352422745275877E7, 세력입니다 -> 37945.73681736421, 바프가 -> 4134515.757213026, 솔브케어 -> 625312.3750312909, 퀀텀 -> 1504265.444459041, 폴리 -> 488412.8410189996, 전액현금화완료■■■■■ -> 239.68391383176356, 답안지 -> 289.71510052507494, 17년부터코인했던형이다.. -> 17.5935275643391, 베이직으로 -> 17.54331626240591, 소다 -> 1.8122568708250895E7, 베이직은 -> 19.856146321979423, 1070에 -> 200.83835887928223, 소다코인 -> 5879574.042622633, 온버프에 -> 32708.080038624033, ㅅ -> 432.16973116332446, 비트렉스 -> 17881.824490451057, 예약 -> 39.85716948360479, 바프 -> 5.517249597327511E8, 유벤투스 -> 97.33801681778056, 나한테만 -> 37.1884348684539, 신기록달성■■■■ -> 66.11277309947323, psg거래대금 -> 66.11277309947353, 피르마 -> 200.83835887928356, 사망 -> 839742.8842558863, 디카 -> 54.68024799587603, 상장가 -> 911757.8903097553, 아이오텍 -> 348082.84267509286, 리또속 -> 12.935221101671306, 꺼억■■■ -> 32708.080038623815, 파생 -> 623.5614051286898, 베이직 -> 2.524480535014313E7, 아이티오엑스 -> 64107.83687570292, 메탈 -> 21653.237483645105, 코베가 -> 253.31016663234053, 아이오타 -> 341981.7324145101, 도착 -> 43.898776144063476, 9만 -> 10.157124072428944, 중계) -> 3165643.8985959366, 보지 -> 51.3097540014999, 후오비 -> 14046.468518565798, 여고생 -> 260.8963279903984, 퀸텀 -> 915.156192617349, 쯤에서 -> 625312.3750312929, 풀매수간다잇■■■■■ -> 12.93522110167146, 디카르고 -> 21.559150043008675, 410~430 -> 625312.3750312916, 바이프로스트 -> 4381146.589933855, 천억 -> 263.38219362511745, 프메 -> 12.162127509061431, 개정안 -> 39.002409620544896, 6천원본다■■■■ -> 26.602581066228552, 프랑스 -> 148.75373947381544, 엘프 -> 59.85580739901381, 코빗 -> 40.13239222132164, 아오텍 -> 185117.52252725817, 온버프 -> 183073.4358911745, 아이오택스 -> 45830.741391971016, 워뇨띠가 -> 19.233125417589218, 메인프레임 -> 28.593906643909833, 현금화완료 -> 32708.080038624084, 챠트 -> 24.956818002496803, 10달러 -> 351738.210955102, 카르테시 -> 112075.76488592185, 민주당 -> 37.18843486845401, 온톨로지가스 -> 40.40894430205533, 본진상장 -> 200.83835887928015, 해제 -> 29.10424747876028, 대-운-지 -> 26.602581066228396"
bitcoins 2021-08-05,"리오넬 -> 54.50737242523076, 공항 -> 125.73347627857201, 세금 -> 7093.291494942849, 파리 -> 105261.80213561893, 파리행 -> 199.90347702340966, 잘한거냐? -> 37301.58310030821, 캐리 -> 4742534.017678886, 아이오 -> 39153.7476495465, 에펠탑 -> 108.68285808932477, 퀀텀 -> 2506198.988516214, 인프라법 -> 3593.8612405874196, 전액현금화완료■■■■■ -> 44516.34378757656, 답안지 -> 801419.1546386565, 염따 -> 25148.93632562516, 1070에 -> 37301.583100308904, ㅅ -> 1091112.8960360866, 예약 -> 58.418957090912016, 플댑으로 -> 1082564.6373370297, 샤오미 -> 618139.672431202, 유벤투스 -> 5493.810095266726, 도지로 -> 5282.200320790866, 나한테만 -> 54.507372425230656, 백신 -> 3927.762751183024, 신기록달성■■■■ -> 96.90199542263173, 피르마 -> 37301.58310030914, psg거래대금 -> 96.90199542263217, 13200층 -> 3077.0835665543227, 픽준거 -> 3973.390735797573, 파생 -> 942913.6931658124, 이캐시 -> 1076756.5385195767, 코베가 -> 647369.4633951563, 유의종목 -> 592791.6077363376, 27k확정이야■■■■ -> 11177.305033611216, 코베 -> 540684.7681229435, 도착 -> 64.34277077699933, 예상하냐? -> 3194.468859298186, 4년차다. -> 607105.7198116367, 밸런서 -> 1583433.4391418453, 여고생 -> 48456.11223575476, 퀸텀 -> 1714419.518034703, 천억 -> 38275.67036217623, 리스크 -> 529287.4043856037, 개정안 -> 57.16612904491464, 프랑스 -> 4565.714244389728, 코빗 -> 58.822353155244635, 크래프톤 -> 3973.390735797556, 도지야 -> 5877.9650764349935, 카르테시 -> 697765.5532020498, 민주당 -> 54.507372425230805, 본진상장 -> 37301.58310030851, 박는거 -> 3357.2167775892817"
bitcoins 2021-08-11,"도지사라했던 -> 239966.6489968444, 아이오텍스 -> 8.140525703198905E7, 선언한다■■■■ -> 53798.501699347624, 파리 -> 975666.215219521, 불장을 -> 73225.73842411209, 아이오 -> 2.2123083201680046E7, 세력입니다 -> 1221404.328161525, ■■■ -> 23910.44519971017, 폴리 -> 1.2334354687525172E7, 점검 -> 38127.816879813065, 소다 -> 220958.98918284287, 온버프에 -> 1052813.6722528392, 비트렉스 -> 575583.4425665212, 바프 -> 1.3767399571058774E7, 신세 -> 23910.44519971016, 지금물리는 -> 23910.44519971002, 아이오텍 -> 449006.6200918156, 상장가 -> 1393520.0379739353, 꺼억■■■ -> 1052813.6722528322, 비키니 -> 13795.590224983882, 베이직 -> 3.2821932591885567E7, 빡대가리없제?■■■■ -> 23910.44519971008, 아이티오엑스 -> 2063514.797615559, 메탈 -> 696978.3748969404, 엑시에 -> 15139.475378152923, 포튜브 -> 28421.768010301552, 아이오타 -> 6406428.498625268, 후오비 -> 452130.3019239301, ■■학식이 -> 23910.44519971015, 바이프로스트 -> 680681.727773724, 아오텍 -> 238790.83631628333, 온버프 -> 710404.202735055, 아이오택스 -> 1475208.2999054885, 현금화완료 -> 1052813.6722528408, 카르테시 -> 139725.04302968006"
bitcoins 2021-08-04,"도지사라했던 -> 0.0, 아이오텍스 -> 0.0, 선언한다■■■■ -> 1222.9987540193754, 세금 -> 209.3631198830629, 바프로 -> 0.0, 파리 -> 3068.9530658581207, 불장을 -> 1664.637192970817, 하이브달러 -> 0.0, 바프는 -> 0.0, 2시전에 -> 0.0, 캐리 -> 89396.88141707977, 아이오 -> 0.0, 세력입니다 -> 0.0, 바프가 -> 0.0, ■■■ -> 543.5550017863917, 솔브케어 -> 0.0, 퀀텀 -> 45627.52826584608, 폴리 -> 489.63278522517396, 인프라법 -> 106.07515598261188, 염따 -> 742.2872406452256, 답안지 -> 14092.477020472097, 17년부터코인했던형이다.. -> 0.0, 베이직으로 -> 0.0, 점검 -> 866.7578290206498, 베이직은 -> 0.0, 소다 -> 0.0, 소다코인 -> 0.0, 온버프에 -> 0.0, ㅅ -> 19054.476956711045, 비트렉스 -> 0.0, 바프 -> 0.0, 신세 -> 543.5550017863915, 유벤투스 -> 157.9424136351402, 샤오미 -> 11651.947838335213, 플댑으로 -> 20406.369706486144, 도지로 -> 155.90758391876878, 백신 -> 115.93047661081438, 지금물리는 -> 543.5550017863882, 사망 -> 0.0, 13200층 -> 90.82212624336903, 상장가 -> 4950.116421387179, 리또속 -> 0.0, 꺼억■■■ -> 0.0, 비키니 -> 313.61448968237266, 픽준거 -> 117.27721630418365, 파생 -> 16606.22613110474, 베이직 -> 6096.586907441717, 이캐시 -> 20296.886902713515, 빡대가리없제?■■■■ -> 543.5550017863897, 아이티오엑스 -> 0.0, 메탈 -> 0.0, 엑시에 -> 344.16496629333756, 포튜브 -> 646.1106864626314, 코베가 -> 11316.090390982963, 아이오타 -> 0.0, 유의종목 -> 11174.136203198368, 27k확정이야■■■■ -> 329.90544028676794, 코베 -> 10191.921010946102, 9만 -> 0.0, 예상하냐? -> 94.2868296373806, 중계) -> 0.0, 4년차다. -> 11443.957563470361, 후오비 -> 0.0, 밸런서 -> 29847.75878530912, 퀸텀 -> 30005.763162556326, ■■학식이 -> 543.5550017863911, 쯤에서 -> 0.0, 풀매수간다잇■■■■■ -> 0.0, 바이프로스트 -> 6660.320221623967, 410~430 -> 0.0, 프메 -> 0.0, 리스크 -> 9977.080427684881, 프랑스 -> 128.32474813119336, 아이오택스 -> 0.0, 온버프 -> 0.0, 현금화완료 -> 0.0, 크래프톤 -> 117.27721630418316, 도지야 -> 173.4919688332971, 10달러 -> 0.0, 박는거 -> 99.09044047900329, 해제 -> 0.0"
bitcoins 2021-08-10,"아이오텍스 -> 905403.4928016687, 도지사라했던 -> 16143.525257611249, 선언한다■■■■ -> 0.0, 바프로 -> 1265.940334892844, 파리 -> 65637.00520150794, 불장을 -> 0.0, 바프는 -> 4283.984023725469, 2시전에 -> 583.9054394284269, 잘한거냐? -> 7728.531907566831, 아이오 -> 1168564.6745705062, 바프가 -> 5757.818202044469, ■■■ -> 0.0, 솔브케어 -> 870.823860965471, 퀀텀 -> 19838.210340486465, 폴리 -> 9572.434577602686, 전액현금화완료■■■■■ -> 9223.361444079226, 답안지 -> 11148.629231021812, 점검 -> 0.0, 소다 -> 39864.146265263546, 1070에 -> 7728.531907566974, 소다코인 -> 8188.025014494224, ㅅ -> 16630.47624676115, 바프 -> 1390902.7663261236, 신세 -> 0.0, 피르마 -> 7728.531907567025, 사망 -> 1169.444536659615, 지금물리는 -> 0.0, 상장가 -> 79098.74945829855, 아이오텍 -> 30206.488037353065, 비키니 -> 0.0, 파생 -> 12835.018602586671, 베이직 -> 2190022.1720350087, 빡대가리없제?■■■■ -> 0.0, 엑시에 -> 0.0, 아이오타 -> 12923.149989978916, 코베가 -> 9747.718096550836, 포튜브 -> 0.0, 중계) -> 4408.5457961377315, 퀸텀 -> 25402.356488849437, 여고생 -> 10039.64385435362, 쯤에서 -> 870.8238609654735, ■■학식이 -> 0.0, 410~430 -> 870.823860965472, 바이프로스트 -> 31764.921007807607, 천억 -> 7930.353488807954, 아오텍 -> 16064.423591666387, 온버프 -> 14555.078205922251, 10달러 -> 489.8384217930785, 카르테시 -> 153970.228928631, 본진상장 -> 7728.531907566896"
