docId,termFreqs
akb48_2021-08-16 00:00:00,"(미우,135.37430290277882),(레이,73.05354222072087),(토무,65.5036949529575),(시연이,64.26079167449261),(시요밍,59.67073512631456),(쇼룸,58.45364051427146),(양민,58.45364051427146),(노기자카,41.84591440069879),(양갤,36.27396684218358),(그라비아,35.78455636499563),(센터,33.58021936521848),(성소,29.390126530431104),(카키,28.213085321698344),(위화감,23.87981086285478),(사쿠라,23.624804640897228),(나코,22.042594897823328),(.,21.93503363541626),(나루,21.47073381899738),(노기,20.1522038012131),(아마존,19.027780598935163)"
akb48_2021-08-17 00:00:00,"(하이브,356.50733092274544),(사쿠라,266.315979588296),(김채원,116.47512442812015),(미루,90.69903196708114),(사쿠라가,76.81177370921854),(하이브가,76.81177370921854),(나코는,72.54793368436717),(나코,66.12778469346998),(사쿠라는,57.25529018399301),(걸그룹,50.81417137104749),(하이브행,47.75895561195054),(뽀삐,44.70927953615914),(히토미,43.461957648495954),(시요밍,41.310508933602385),(하이브걸즈,40.3044076024262),(채원,35.78455636499563),(양민,35.07218430856288),(미우,34.93530397491067),(시연이,32.130395837246304),(허윤진,28.213085321698344)"
akb48_2021-08-18 00:00:00,"(사쿠라,62.28357587145633),(쇼룸,42.866003043799076),(나코,33.06389234673499),(미루,30.233010655693715),(항공편,29.266431723778943),(미자,28.833859683523375),(양갤,28.213085321698344),(하이브,27.61676507148028),(히토미,27.449657462207973),(나루,25.049189455496943),(뽀삐,23.84494908595154),(양민,23.381456205708588),(모바메,22.674757991770285),(토무,21.834564984319165),(요다,18.895631659808572),(아이즈원,14.699942308090634),(성소,14.695063265215552),(그라비아,14.313822545998253),(.,14.101093051339024),(미우,13.1007389905915)"
akb48_2021-08-19 00:00:00,"(사쿠라,32.21564269213258),(히토미,16.012300186287984),(나코,14.695063265215552),(사쿠라가,13.965777038039734),(하이브,12.553075032491037),(미유,12.127647720525973),(나코는,12.091322280727862),(양갤,12.091322280727862),(양민,11.690728102854294),(민주,5.961237271487885),(뽀삐,5.961237271487885),(소속사가,5.863656943149022),(이렇게까지,5.150307055271557),(이것이,4.785663941683648),(요기요,4.730865993307419),(토무,4.366912996863833),(눈을,4.25240661517575),(삼겹살,4.2102997967800855),(쿠라,4.1845914400698785),(모모카,4.1845914400698785)"
ani1_new1_2021-08-16 00:00:00,"(애니,49.05739757780928),(스미레,33.47673152055903),(애갤,29.292140080489148),(쟈히,23.381456205708588),(ㅇㅂ,22.878104957370066),(<-,20.001878157484807),(모노가타리,18.36882908151944),(←,17.357507356220914),(마카롱,16.30952622765871),(아야야,14.313822545998253),(취향,12.722274781567833),(사이클,12.343916605607076),(임,11.193406455072827),(에혀,11.095299145517053),(아이큐,10.57658559649092),(2기,10.300614110543114),(던파,8.768645101518691),(잇음,8.100428762866025),(블레이드,8.041542129880813),(<~,7.7331985658535345)"
ani1_new1_2021-08-17 00:00:00,"(애갤,58.584280160978295),(애니,44.85247778542563),(의자,39.45890295683411),(<-,37.14634514961464),(슈타게,30.233010655693715),(모노가타리,29.390126530431104),(ㅇㅂ,26.14640566556579),(←,23.866572614803758),(아야야,21.47073381899738),(던파,19.729451478417054),(<~,19.332996414633836),(님,17.422444047006746),(임,15.670769037101959),(라면에,14.699942308090634),(목걸이,13.724828731103987),(정모,12.711818524063938),(를,12.105014239042601),(참치,11.727313886298043),(캐르,11.337378995885143),(ㅋ,11.207101744078958)"
ani1_new1_2021-08-18 00:00:00,"(포커,55.080678578136514),(애갤,50.21509728083854),(애니,30.836078477480118),(급식,29.365148098637786),(<-,27.621641265098066),(<~,21.266296056097218),(제로콜라,18.515874908410613),(코미양,16.738365760279514),(로아,15.763617397307229),(←,15.1878189366933),(아야야,14.313822545998253),(님,13.937955237605395),(임,13.432087746087394),(2기,12.875767638178893),(아메리카노,12.127647720525973),(모니터,11.705995311376707),(이슬람,10.125535953582531),(ㅇㅂ,9.804902124587171),(배틀,9.09573579039448),(던파,8.768645101518691)"
ani1_new1_2021-08-19 00:00:00,"(애갤,29.292140080489148),(ㅇㅂ,19.609804249174342),(<,10.428176598688221),(잇음,10.125535953582531),(애니,9.811479515561857),(구독,9.355058998286193),(<-,8.572233496064918),(아야야,7.156911272999126),(무슬림,6.536601416391448),(소꿉친구,6.4075243741163055),(보지털,5.961237271487885),(누나랑,5.770616911879236),(욀케,5.770616911879236),(매드무비,5.770616911879236),(사무실,5.681713386737568),(할말이,5.681713386737568),(2기,5.150307055271557),(사투리,5.021230012996415),(500,5.021230012996415),(중국,4.925675123738735)"
arbeit_2021-08-16 00:00:00,"(쿠팡,256.49910780178675),(동쿠,152.84195489023418),(출확,109.17282492159583),(인센,74.23752094668517),(계약직,71.80340030727257),(칠쿠,69.87060794982133),(조팡,64.26079167449261),(고쿠,64.26079167449261),(오후조,61.13678195609367),(오쿠,58.584280160978295),(장쿠,56.76986895922983),(쿠순이,56.76986895922983),(단기,54.4639571799886),(부쿠2,52.402955962366),(허브,48.36528912291145),(김컬,48.03604296550217),(대기업-좋소-노가다-기타알바-교도소-조팡,48.03604296550217),(양쿠,43.66912996863833),(안쿠,41.310508933602385),(인쿠,39.3022169717745)"
arbeit_2021-08-17 00:00:00,"(쿠팡,314.47493353780703),(고쿠,220.32271431254605),(입금,116.88493796488743),(장쿠,104.805911924732),(계약직,98.25728463100457),(오쿠,83.69182880139758),(동쿠,74.23752094668517),(칠쿠,69.87060794982133),(오후조,69.87060794982133),(출확,69.87060794982133),(여쿠,64.26079167449261),(부쿠2,61.13678195609367),(인쿠,61.13678195609367),(컬리,54.39968872090842),(김컬,52.402955962366),(쿠순이,52.402955962366),(허브,48.36528912291145),(단기,48.05643280587229),(양쿠,48.03604296550217),(조팡,45.90056548178043)"
arbeit_2021-08-18 00:00:00,"(쿠팡,263.5264806182741),(인센,109.17282492159583),(계약직,94.47815829904286),(양쿠,87.33825993727666),(조팡,87.21107441538283),(쿠순이,82.97134694041283),(고쿠,82.62101786720477),(출확,78.604433943549),(오쿠,62.768871601048176),(오후조,61.13678195609367),(허브,60.45661140363931),(인쿠,56.76986895922983),(장쿠,48.03604296550217),(안쿠,45.90056548178043),(단기,44.85267061881414),(칠쿠,43.66912996863833),(동쿠,43.66912996863833),(컬리,37.66132296062891),(근장,36.710229376509425),(김컬,34.93530397491067)"
arbeit_2021-08-19 00:00:00,"(쿠팡,68.51688496075126),(계약직,22.674757991770285),(신분증,20.948665557059602),(쿠순이,17.467651987455334),(근장,16.686467898413376),(칠쿠,13.1007389905915),(오후조,13.1007389905915),(인센,13.1007389905915),(쿠팡에서,10.04246002599283),(김컬,8.733825993727667),(출확,8.733825993727667),(컬리,8.369182880139757),(오쿠,8.369182880139757),(출근,8.049731526409788),(근로장려금,7.93243919736819),(있니?,7.531845019494622),(고인물,7.349971154045317),(셔틀,7.347531632607776),(좆팡,7.156911272999126),(태국,6.536601416391448)"
